#TYPE System.Management.Automation.PSCustomObject
"File","Action","ShortCutKey"
"EmployeeLedgerEntries.Page","ActionApplyEntries","Shift+F11"
"EmployeeList.Page","""Dimensions-Single""","Alt+D"
"EmployeeList.Page","""Ledger E&ntries""","Ctrl+F7"
"FAAllocations.Page","Dimensions","Alt+D"
"FADepreciationBooks.Page","""Ledger E&ntries""","Ctrl+F7"
"FADepreciationBooks.Page","Statistics","F7"
"FADepreciationBooksSubform.Page","Statistics","F7"
"FAErrorLedgerEntries.Page","Dimensions","Alt+D"
"FAJournalBatches.Page","""Edit Journal""","Return"
"FAJournalBatches.Page","""P&ost""","F9"
"FAJournalBatches.Page","""Post and &Print""","Shift+F9"
"FALedgerEntries.Page","Dimensions","Alt+D"
"FAPostingTypesOvervMatrix.Page","""Ledger E&ntries""","Ctrl+F7"
"FAPostingTypesOvervMatrix.Page","Statistics","F7"
"FAReclassJournalBatches.Page","""Edit Journal""","Return"
"FiledServiceContractLines.Page","""Show Document""","Shift+F7"
"FinanceChargeMemo.Page","Dimensions","Alt+D"
"FinanceChargeMemo.Page","Statistics","F7"
"FinanceChargeMemo.Page","Issue","F9"
"FinanceChargeMemoList.Page","Statistics","F7"
"FinanceChargeMemoList.Page","Issue","F9"
"FinancialJournal.Page","Dimensions","Shift+Ctrl+D"
"FinancialJournal.Page","Card","Shift+F7"
"FinancialJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"FinancialJournal.Page","""Apply Entries""","Shift+F11"
"FinancialJournal.Page","Reconcile","Ctrl+F11"
"FinancialJournal.Page","""P&ost""","F9"
"FinancialJournal.Page","""Post and &Print""","Shift+F9"
"FinishedProdOrderLines.Page","Dimensions","Alt+D"
"FinishedProdOrderLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"FinishedProductionOrder.Page","""Item Ledger E&ntries""","Ctrl+F7"
"FinishedProductionOrder.Page","Dimensions","Alt+D"
"FinishedProductionOrder.Page","Statistics","F7"
"FinishedProductionOrders.Page","""Item Ledger E&ntries""","Ctrl+F7"
"FinishedProductionOrders.Page","Dimensions","Alt+D"
"FinishedProductionOrders.Page","Statistics","F7"
"FirmPlannedProdOrder.Page","Dimensions","Alt+D"
"FirmPlannedProdOrder.Page","Statistics","F7"
"FirmPlannedProdOrderLines.Page","Dimensions","Alt+D"
"FirmPlannedProdOrderLines.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"FirmPlannedProdOrders.Page","""Item Ledger E&ntries""","Ctrl+F7"
"FirmPlannedProdOrders.Page","Dimensions","Alt+D"
"FirmPlannedProdOrders.Page","Statistics","F7"
"FixedAssetCard.Page","Statistics","F7"
"FixedAssetCard.Page","Dimensions","Alt+D"
"FixedAssetCard.Page","""Ledger E&ntries""","Ctrl+F7"
"FixedAssetGLJournal.Page","Dimensions","Alt+D"
"FixedAssetGLJournal.Page","Card","Shift+F7"
"FixedAssetGLJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"FixedAssetGLJournal.Page","""Apply Entries""","Shift+F11"
"FixedAssetGLJournal.Page","Reconcile","Ctrl+F11"
"FixedAssetGLJournal.Page","""P&ost""","F9"
"FixedAssetGLJournal.Page","""Post and &Print""","Shift+F9"
"FixedAssetJournal.Page","Dimensions","Alt+D"
"FixedAssetJournal.Page","""&Card""","Shift+F7"
"FixedAssetJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"FixedAssetJournal.Page","Post","F9"
"FixedAssetJournal.Page","""Post and &Print""","Shift+F9"
"FixedAssetList.Page","Statistics","F7"
"FixedAssetList.Page","""Dimensions-Single""","Alt+D"
"FixedAssetList.Page","""Ledger E&ntries""","Ctrl+F7"
"GeneralJournal.Page","Dimensions","Alt+D"
"GeneralJournal.Page","Card","Shift+F7"
"GeneralJournal.Page","""Ledger E&ntries""","Ctrl+F7"
"GeneralJournal.Page","Post","F9"
"GeneralJournal.Page","PostAndPrint","Shift+F9"
"GeneralJournal.Page","Reconcile","Ctrl+F11"
"GeneralJournal.Page","""Apply Entries""","Shift+F11"
"GeneralJournalBatches.Page","EditJournal","Return"
"GeneralJournalBatches.Page","""P&ost""","F9"
"GeneralJournalBatches.Page","""Post and &Print""","Shift+F9"
"GeneralLedgerEntries.Page","Dimensions","Alt+D"
"GeneralLedgerEntries.Page","ApplyEntries","Shift+F11"
"GetPostDocPCrMemoLnSbfrm.Page","""Show Document""","Shift+F7"
"GetPostDocPCrMemoLnSbfrm.Page","Dimensions","Alt+D"
"GetPostDocPCrMemoLnSbfrm.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetPostDocPInvLnSubform.Page","""Show Document""","Shift+F7"
"GetPostDocPInvLnSubform.Page","Dimensions","Alt+D"
"GetPostDocPInvLnSubform.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetPostDocPRcptLnSbfrm.Page","""Show Document""","Shift+F7"
"GetPostDocPRcptLnSbfrm.Page","Dimensions","Alt+D"
"GetPostDocPRcptLnSbfrm.Page","""Item &Tracking Lines""","Shift+Ctrl+I"
"GetPostDocSCrMemoLnSbfrm.Page","""Show Document""","Shift+F7"
